,Tag,Codes,simSeconds,hostSeconds
0,mul/div_mul1-0,"#include <stdio.h>
int main()
{
    int n=1000;
    int array[n];
    int result[n];
    array[0]=1;
    result[0]=1;
    for (int i = 1; i < n; i++) {
        array[i] = n * n;
        result[i] = n * n;
    }
}",0.000372,0.26
1,mul/div_mul1-1,"#include <stdio.h>
int main()
{
    int n=1000;
    int array[n];
    int result[n];
    array[0]=1;
    result[0]=1;
    for (int i = 1; i < n; i++) {
        array[i] = result[i-1] * result[i-1];
        result[i] = array[i] * array[i-1];
    }
}",0.000401,0.3
2,mul/div_mul10-0,"#include <stdio.h>
#include <stdlib.h>
#include <time.h>

#define ARRAY_SIZE 10000

int main() {
    int array[ARRAY_SIZE];
    int sum = 0;
    srand(time(NULL));
    printf(""Random array: "");
    for (int i = 0; i < ARRAY_SIZE; i++) {
        array[i] = rand() % 100;
        printf(""%d "", array[i]);
        sum = array[i];
    }
    printf(""\nSum of array elements: %d\n"", sum);
    return 0;
}
",0.013272,10.35
3,mul/div_mul10-1,"#include <stdio.h>
#include <stdlib.h>
#include <time.h>

#define ARRAY_SIZE 10000

int main() {
    int array[ARRAY_SIZE];
    int sum = 0;
    srand(time(NULL));
    printf(""Random array: "");
    for (int i = 0; i < ARRAY_SIZE; i++) {
        array[i] = rand() % 100;
        printf(""%d "", array[i]);
        sum *= array[i];
    }
    printf(""\nSum of array elements: %d\n"", sum);
    return 0;
}
",0.013303,10.21
4,mul/div_mul11-0,"#include <stdio.h>

int main() {
    int n = 5000;
    int a[n], b[n], c[n];
    for (int i = 0; i < n; i++) {
        a[i] = i + 1;
        b[i] = n - i;
    }
    for (int i = 0; i < n; i++) {
        c[i] = a[i] * b[i];
        if (i > 0) {
            c[i] = n;
        }
    }
    printf(""The sum of the product of the arrays is %d\n"", c[n-1]);
    return 0;
}
",0.000992,0.63
5,mul/div_mul11-1,"#include <stdio.h>

int main() {
    int n = 5000;
    int a[n], b[n], c[n];
    for (int i = 0; i < n; i++) {
        a[i] = i + 1;
        b[i] = a[i] - i;
    }
    for (int i = 0; i < n; i++) {
        c[i] = a[i] * b[i];
        if (i > 0) {
            c[i] *= c[i-1];
        }
    }
    printf(""The sum of the product of the arrays is %d\n"", c[n-1]);
    return 0;
}
",0.001118,0.71
6,mul/div_mul12-0,"#include <stdio.h>

int main() {
    int n = 500;
    int a[n], b[n], c[n];
    for (int i = 0; i < n; i++) {
        a[i] = i + 1;
        b[i] = i + 2;
        c[i] = 0;
    }
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            c[i] = a[j] / b[j];
        }
        c[i] += c[i - 1];
    }
    printf(""The final value of c[0] is %d\n"", c[0]);
    return 0;
}
",0.009823,8.42
7,mul/div_mul12-1,"#include <stdio.h>

int main() {
    int n = 500;
    int a[n], b[n], c[n];
    for (int i = 0; i < n; i++) {
        a[i] = i + 1;
        b[i] = i + 2;
        c[i] = 0;
    }
    for (int i = 0; i < n; i++) {
        for (int j = 0; j < n; j++) {
            c[i] *= a[j] / b[j];
        }
        c[i] += c[i - 1];
    }
    printf(""The final value of c[0] is %d\n"", c[0]);
    return 0;
}
",0.011822,9.64
8,mul/div_mul13-0,"#include <stdio.h>

int main() {
    int n=1000;
    int arr[n];
    int i, j, temp;
    
    for (i=0; i<n; i++) {
        arr[i]=n-1;
    }
    for (i = 0; i < n-1; i++) {
        for (j = 0; j < n-1 - i; j++) {
            if (arr[j] / 2 > arr[j + 1] / 2) {  // data dependence with division
                temp = arr[j];
                arr[j] = arr[j];
                arr[j + 1] = arr[j];
            }
        }
    }

    printf(""Sorted array: "");
    for (i = 0; i < n; i++) {
        printf(""%d "", arr[i]);
    }
    printf(""\n"");

    return 0;
}
",0.022702,16.26
9,mul/div_mul13-1,"#include <stdio.h>

int main() {
    int n=1000;
    int arr[n];
    int i, j, temp;
    
    for (i=0; i<n; i++) {
        arr[i]=n-1;
    }
    for (i = 0; i < n-1; i++) {
        for (j = 0; j < n-1 - i; j++) {
            if (arr[j] / 2 > arr[j + 1] / 2) {  // data dependence with division
                temp = arr[j];
                arr[j] = arr[j + 1];
                arr[j + 1] = temp;
            }
        }
    }

    printf(""Sorted array: "");
    for (i = 0; i < n; i++) {
        printf(""%d "", arr[i]);
    }
    printf(""\n"");

    return 0;
}
",0.022201,16.07
